Title,Abstract,Journal,Language,Year,Month
Recurrent urinary tract infections led to the diagnosis of cross-renal ectopia: A case report.,"Crossed renal ectopy (CRE) is a very rare congenital kidney anomaly. CRE is usually asymptomatic and is most often discovered incidentally, but the patient may sometimes develop various renal manifestations.",International journal of surgery case reports,eng,2023,8.0
"Crossed-fused renal ectopia with renal calculi and its management, a case report.","Crossed fused renal ectopia is a rare congenital anomaly characterized by both kidneys being fused together on one side of the spine. Herein, we present an atypical subtype of this disease. To our best knowledge, in the current literature, there is few cases reported with superior crossed fused renal ectopia of the right kidney.",International journal of surgery case reports,eng,2023,5.0
Crossed fused renal ectopia with hydronephrosis: A case report.,No Abstract,Asian journal of surgery,eng,2023,8.0
Mayer-Rokitansky-Kuster-Hauser syndrome type II with crossed fused renal ectopia: A rare case report.,"Mayer-Rokitansky-Küster-Hauser (MRKH) syndrome is a congenital disorder characterized by agenesis or aplasia of the uterus. Patients usually present with primary amenorrhea. MRKH can be isolated (type I) or accompanied by other malformations (type II) involving the kidney, skeletal, and vascular systems. Magnetic resonance imaging (MRI) is the mainstay of imaging modality in evaluating this syndrome. A 20-year-old woman presented with cyclic abdominal pain and primary amenorrhea. Secondary sexual characteristics and hormone evaluation were normal. Ultrasound and MRI were conducted and revealed no normal uterus structure with ectopic ovarium and crossed fused ectopic renal.",Radiology case reports,eng,2023,5.0
Urethral Caruncle with Associated Renoureteric Anomalies.,"A urethral caruncle is a rare differential diagnosis for a prolapsed mass at the urethral meatus. The aetiopathogenesis of this entity is unclear. We report a three-year-old female patient who presented to a tertiary care teaching hospital in India in 2019 with intermittent bleeding from the introitus for a month. Investigations revealed a urethral caruncle and associated renal anomalies which has not been described in the previous literature. The patient was discharged with a prescription of a Sitz bath twice daily and advised to apply betamethasone (0.1%) cream locally once daily. There was a significant improvement after six weeks of therapy; at two-years follow-up, the lesion had disappeared completely.",Sultan Qaboos University medical journal,eng,2023,2.0
A Rare Case of Crossed Non-fused Ectopic Kidney.,"Crossed and non-fused kidneys are an exceedingly rare congenital anomaly in which one or both kidneys cross the midline to the opposite side. At the same time, the ureters are inserted in their normal anatomical locations in the bladder. Although crossed ectopic kidneys are mostly asymptomatic and incidentally discovered during workup for other disorders, they are prone to urological complications such as urinary tract infections (UTIs). Here we present the case of a 12-year-old male with a history of recurrent UTIs and urinary retention who presented to the emergency department with recurrent UTIs and urinary retention and was eventually found to have an ectopic unfused left kidney in the right lumbar region on computed tomography (CT).",Cureus,eng,2022,11.0
Pelviureteric junction obstruction of the ipsilateral kidney caused by hydronephrosis secondary to crossed fused renal ectopia.,"Crossed fused renal ectopia is rare and usually asymptomatic. However, it is associated with urological anomalies.",IJU case reports,eng,2022,9.0
Obstructed hemivagina with ipsilateral renal and urinary tract anomaly presenting as an unusual cause of acute abdomen: a radiologic perspective.,"Obstructed hemivagina with ipsilateral renal anomaly (OHVIRA) is a rare congenital genitourinary defect with a triad of unilateral vaginal obstruction, uterine anomaly and ipsilateral renal agenesis. This paper reports an unusual presentation of OHVIRA, with our patient experiencing severe abdominal pain from a left tubo-ovarian abscess that is contralateral to the side of the vaginal outflow obstruction. Another reportable finding is our patient's rare association of a trifid ureter that fuses distally before inserting ectopically in her vaginal canal. Lastly, this case report also emphasises the importance of radiologists' expertise in suspecting the diagnosis early on and in contributing to the preoperative evaluation of patients with OHVIRA, thereby providing adequate management for these patients.",BMJ case reports,eng,2022,6.0
Bilateral ureteral reimplantation in a patient with an intraperitoneal ectopic bipenis: A case report.,"Diphallia is a highly uncommon congenital urogenital abnormality and a few connected reports have been published. However, no case of intraabdominal heterotopic diphallus has been documented to date. In the present study, we present a rare case of intraperitoneal ectopic bipenis.",World journal of clinical cases,eng,2022,3.0
Primary Chondrosarcoma in L-shaped Crossed Fused Renal Ectopia Coexisting with Papillary Urothelial Carcinoma in Urinary Bladder - An Enigmatic Entity with Poor Prognosis.,"Primary renal chondrosarcomas are rare tumors that are high-grade in nature and, unfortunately, have poorly understood pathogenesis and extremely low prognosis. The coexistence of a discrete malignancy in the urinary bladder is even rarer, with the occurrence of distinct papillary urothelial carcinoma in the urinary bladder in this case. The clinical presentation is nonspecific, and the primary radiological investigations have a limited scope in providing specific diagnosis of this entity. The final diagnosis is possible on thorough histopathological examination of the resected specimen, which requires extensive sampling and meticulous reporting. As of now, the only way to achieve a better prognosis is by early diagnosis. It is necessary to keep the possibility of occurrence of sarcomas at rare sites in the differential diagnoses. The cytogenetic and molecular abnormalities associated with this entity need to be elucidated to achieve a more satisfactory outcome concerning the overall management of the patient.",Journal of kidney cancer and VHL,eng,2022,
